Item,Category,Description,Qty,Spec,Source,Est Cost,Status,Notes
CONN-001,Electrical,Connectors and terminals,1 lot,"Ring spade fork butt crimp assortment 22-10 AWG",Amazon — Sopoby 1200pc B01GAESOWA,$5-8,Sourced,"Insulated terminals red/blue/yellow for full AWG range. Link: https://www.amazon.com/dp/B01GAESOWA"
STRAIN-001,Electrical,Strain reliefs,2-3,"Cord grip / cable gland for mains entry",Hardware store,$3-5,Needs sourcing,Do not skip - mains cord pulling loose is a real hazard
FAST-001,Mechanical,Fasteners,1 lot,"SS bolts nuts fender washers backing strips M4/M5 or #8/#10",Hardware store,$5-10,Needs sourcing,Sized to final mechanical design. M3: Include fender washers and backing strips for clamping ring bolts
POPPER-001,Reference,Popcorn popper for calibration,1,"Any hot-air popcorn popper",Thrift store,$2-5,Needs sourcing,A4: Roast on a popper first to calibrate operator senses (first-crack sound roast progression fluidization feel) before building the custom roaster
MESH-001,Mechanical,Distributor mesh - staged Plan B,1,"40-mesh 304 SS woven cloth - 2 discs cut to 2.37in and 2.87in",Amazon — 40 mesh 304 SS woven cloth (any reputable seller),$5-10,Needs sourcing,"DR-013 D1: staged on-hand backup for distributor plate. Pre-cut 2 discs (one per chamber) and hold. Install over PLATE-001A/B if TP-001 stage 1 measures plate dP too low (channeling) or visually uneven fluidization. Mesh count steps 40 -> 60 -> 80 roughly double dP at each step — easy reactive iteration. Captive between chamber bottom rim and perforated plate per DR-008 stack."
PRESS-001,Sensor,Differential pressure sensor (plate dP),1,"Sensirion SDP810-500Pa I2C diff pressure sensor; +/-500 Pa (+/-2in WC) range",Sensirion / Digi-Key / Mouser; Amazon equivalents available,$25-35,Needs sourcing,"DR-013 D5: enables quantified plate dP and bed dP measurement. I2C bus shared with future expansion - no GPIO pin pressure on ESP32. Add dP_plate channel to Artisan stream. Tap pairs reconfigurable across plate / bed / mesh via PRESS-TAP-001. 0.1% accuracy class is overkill for our needs but gives margin for transient measurement."
PRESS-TAP-001,Sensor,Pressure taps + tubing,1 lot,"4-6x small barb fittings (~1/8in) + silicone tubing 1/8in ID 6ft",Hardware store / Amazon,$5-10,Needs sourcing,"DR-013 D5: pressure taps through plenum wall (above and below distributor plate) and chamber wall (above bed). Reconfigurable — single PRESS-001 sensor can read plate dP or bed dP by swapping tubing. Silicone for thermal tolerance up to ~200C. Through-wall barbs sealed with high-temp RTV."
ANEMO-001,Sensor,Handheld vane anemometer,1,"Vane-style anemometer 0-30 m/s 3% accuracy class",Amazon — generic handheld anemometer (BTMETER BT-100 class),$20-30,Needs sourcing,"DR-013 D5: one-time exhaust CFM spot-checks during TP-001 characterization. Held at exhaust outlet; CFM = velocity x outlet area. Not logged. 3% accuracy is fine for characterization. Used to ground-truth the SDP810-derived flow estimate (plate as orifice flow meter once Cd is calibrated)."
LEGS-001,Mechanical,Threaded-rod tripod legs,3,"3x 5/16in or 3/8in threaded rod ~24in long; matching nuts/washers; SS or zinc-plated; chamber clamp band",Hardware store,$8-15,Needs sourcing,"DR-013 cross-cutting: tip-resistance strategy. 3 rods through baseplate at tripod points. Below baseplate: nuts + washers as adjustable feet for leveling. Above baseplate: rods continue up past the air-train height to a horizontal cross-piece or chamber band clamp around the cone reducer (EXH-004) or upper chamber. Replaces the briefly-considered chamber-drop-through plenum geometry. Final rod length set once chamber stack is assembled."
PLUG-001,Electrical,NEMA 5-20 cord plug,1,"NEMA 5-20P plug body for 12 AWG cord (T-shaped neutral blade)",Hardware store,$5-8,Needs sourcing,"DR-013 D4: v1 requires a 20A circuit. Replaces standard 5-15 plug. Pair with 12 AWG cord (E5 / WIRE-001). Build-level safety label near cord: 'Requires 20A circuit (NEMA 5-20). Do not plug into a 15A receptacle.' Do not use 5-15 plugs or 5-15-to-5-20 adapters — combined heater + motor load will trip 15A breakers."
